,creationDate,avgLow,avgHigh,medianLow,medianHigh,countLow,countHigh,averageFactor,medianFactor
140,2019/13,24037266.416666668,11005627.0,14317242,12179608,24,5,0.45785684649936115,0.8506951268966467
10,2021/41,655879.8333333334,861019.0208333334,701969,597472,12,48,1.312769469458201,0.8511373009349416
125,2019/28,17002502.508474577,10178040.086956521,8638351,7422353,59,23,0.5986201197078764,0.8592326243747215
27,2021/24,3141383.5,2597055.0,2403703,2086422,18,26,0.8267233211099504,0.8680032433291467
48,2021/3,2926416.772727273,2290914.0,1250865,1093441,22,30,0.7828392802249365,0.8741478896603551
60,2020/41,6982338.0,9517925.666666666,11407583,9993106,4,12,1.3631430713704586,0.8760055482392721
35,2021/16,4513832.8,3115588.375,2219639,1968995,20,8,0.690231232091716,0.8870789349078837
77,2020/24,13340369.0,15619434.666666666,9788069,9071255,19,15,1.1708397771206078,0.9267665563044151
7,2021/44,1411922.9583333333,1299303.3214285714,1038822,1037174,24,28,0.9202366982985384,0.9984135876983737
92,2020/9,2320386.0,2128871.4482758623,1448111,1449242,13,29,0.9174643564802849,1.0007810174772513
186,2016/40,17258587.0,23587506.0,23559392,23587506,5,1,1.3667113072466477,1.0011933245136377
108,2019/45,18510693.695652176,14466315.975,11134797,11330669,46,40,0.7815112827672078,1.017590980778545
181,2017/41,8935917.85,4771947.0,4671380,4771947,20,1,0.534018673862361,1.0215283278174758
87,2020/14,14168360.608695652,11427951.68,5806925,5969057,23,25,0.8065824971299953,1.0279204570405163
31,2021/20,5893226.157894737,6716259.484848484,4671542,4926639,19,33,1.1396575160875488,1.0546065945677037
120,2019/33,8958866.827586208,5366298.05882353,2857293,3041788,29,17,0.5989929487845032,1.0645698568540223
34,2021/17,7681427.9375,9278581.72413793,6072789,6729960,32,29,1.2079240734448315,1.1082156814603636
57,2020/44,1853312.25,4300119.0,2253310,2510944,4,4,2.320234488279026,1.1143357993352
40,2021/11,2066081.857142857,1686587.0588235294,1046184,1234163,28,17,0.8163215087498404,1.1796806297936118
25,2021/26,2048213.5555555555,2744766.846153846,1612400,1931981,9,13,1.3400784496855642,1.1982020590424212
100,2020/1,7672882.076923077,4301478.75,3362682,4056218,26,20,0.5606079575935498,1.2062448961870316
143,2019/10,11981116.0,18185371.8,10357224,12599992,26,5,1.5178362182621385,1.2165414207513519
22,2021/29,1798951.4444444445,1806118.0588235294,609988,756557,18,17,1.0039837731036139,1.2402817760349385
73,2020/28,5275281.307692308,3169053.294117647,1027955,1283259,13,17,0.6007363606366543,1.248361066389093
167,2018/25,9087589.0,2267739.8,1889298,2416378,14,5,0.24954251342132658,1.2789819287375523
68,2020/33,5264300.111111111,6335848.863636363,2430457,3136445,18,44,1.2035500883134653,1.2904754126487323
26,2021/25,3341407.0625,3074259.3636363638,1628250,2161307,16,22,0.920049340332764,1.327380316290496
124,2019/29,11919921.195652174,10421250.3,10596819,14442354,46,10,0.8742717446656596,1.3628952235571825
90,2020/11,5358061.866666666,5409297.75862069,2590102,3651600,15,29,1.0095623927511495,1.4098286476748791
16,2021/35,2436234.96,3617230.6666666665,1953320,2754429,25,21,1.4847626464840922,1.4101268609342044
66,2020/35,7047693.619047619,2139935.8181818184,1204983,1712127,21,11,0.3036363289684258,1.4208723276593944
11,2021/40,828263.1333333333,1327650.6923076923,441237,635182,15,13,1.6029334626600857,1.439548360631588
21,2021/30,2343483.434782609,2685323.8,1020224,1484660,23,25,1.1458684794369376,1.4552294398092969
132,2019/21,23007468.80327869,23422550.454545453,17388748,25924076,61,22,1.0180411697964624,1.490853510557517
47,2021/4,4915885.235294118,2878777.4615384615,621202,947432,17,26,0.5856071335575482,1.5251592879610818
32,2021/19,4217154.269230769,5486497.478260869,1803869,2753418,26,69,1.3009952038727848,1.526395763772203
97,2020/4,6371584.0344827585,4937098.416666667,1747532,2673773,29,12,0.7748620107570249,1.5300280624331914
165,2018/28,6576064.090909091,3661277.0,2387359,3661277,22,1,0.5567581077960352,1.533609733601021
160,2018/35,17544399.153846152,22350747.25,18149923,28971277,26,4,1.273953416928512,1.5962203806594661
184,2016/49,20921035.588235293,23976131.0,18304344,29628050,17,2,1.146029836758306,1.6186348989070574
153,2018/45,8895831.2,5475846.333333333,1047009,1721841,35,3,0.6155519602635147,1.6445331415489266
96,2020/5,7723464.740740741,5525658.944444444,2508034,4158556,27,18,0.7154378416848305,1.658093949284579
126,2019/27,13221445.659090908,12217971.272727273,3037144,5184218,44,22,0.9241025215972765,1.7069384922150546
111,2019/42,9496449.52631579,13147812.0,2069117,3556453,19,10,1.384497644468688,1.7188264365910675
127,2019/26,6365995.071428572,10794796.333333334,4916855,8481091,14,6,1.6956966212213718,1.724901588515423
81,2020/20,13384792.875,13357738.857142856,6658848,11589828,40,42,0.9979787496071251,1.740515476550899
107,2019/46,16358495.5,22911231.185185187,13533912,23743438,28,27,1.4005708034204727,1.7543662172474597
79,2020/22,12807198.967741935,14238106.125,6733027,12085061,31,16,1.1117267843548113,1.7948926983361273
133,2019/20,20234896.82926829,24666378.230769232,9216107,17298592,41,13,1.2190019271603663,1.876995568736344
130,2019/23,8266273.48,4406438.666666667,2727023,5550626,25,3,0.5330622894739585,2.0354159095834543
103,2019/50,6070121.769230769,8780490.913043479,2471608,5103534,13,23,1.4465098472243958,2.0648638457231083
159,2018/36,27724688.155844156,45867525.0,21853387,45867525,77,1,1.6543928192148654,2.0988748792120875
136,2019/17,8887159.903846154,19151542.272727273,6652504,15049012,52,11,2.154967670204621,2.2621575274513175
95,2020/6,4537985.35,3162032.2,632640,1436810,20,20,0.6967920687535936,2.2711336621143148
